date,1. open,2. high,3. low,4. close,5. volume
2020-04-24 09:31:00,75.75,75.75,75.38,75.55,123635.0
2020-04-24 09:32:00,75.57,75.63,75.43,75.47,10239.0
2020-04-24 09:33:00,75.37,75.37,75.01,75.05,21265.0
2020-04-24 09:34:00,75.12,75.12,75.12,75.12,50520.0
2020-04-24 09:35:00,75.08,75.08,74.96,74.96,52173.0
2020-04-24 09:36:00,74.88,74.88,74.8474,74.8474,24763.0
2020-04-24 09:37:00,74.76,74.89,74.76,74.89,72271.0
2020-04-24 09:38:00,74.89,74.89,74.865,74.87,39357.0
2020-04-24 09:39:00,74.89,74.89,74.76,74.76,110756.0
2020-04-24 09:40:00,74.755,75.03,74.755,75.03,46154.0
2020-04-24 09:41:00,74.98,75.0493,74.98,75.0493,18189.0
2020-04-24 09:42:00,75.03,75.03,75.0,75.0,20718.0
2020-04-24 09:43:00,74.91,74.91,74.83,74.86,9539.0
2020-04-24 09:44:00,74.92,74.92,74.725,74.725,15961.0
2020-04-24 09:45:00,74.745,74.8799,74.745,74.8799,15783.0
2020-04-24 09:46:00,74.88,74.98,74.88,74.98,32816.0
2020-04-24 09:47:00,74.91,74.91,74.76,74.76,12971.0
2020-04-24 09:48:00,74.72,74.72,74.54,74.63,37824.0
2020-04-24 09:49:00,74.66,74.66,74.535,74.535,18595.0
2020-04-24 09:50:00,74.528,74.528,74.325,74.325,45907.0
2020-04-24 09:51:00,74.33,74.385,74.33,74.385,43351.0
2020-04-24 09:52:00,74.39,74.54,74.39,74.53,42353.0
2020-04-24 09:53:00,74.55,74.644,74.55,74.6,18705.0
2020-04-24 09:54:00,74.59,74.72,74.59,74.72,23090.0
2020-04-24 09:55:00,74.7,74.7,74.64,74.64,16644.0
2020-04-24 09:56:00,74.66,74.66,74.51,74.5199,20341.0
2020-04-24 09:57:00,74.51,74.51,74.47,74.47,16495.0
2020-04-24 09:58:00,74.5,74.73,74.5,74.73,28970.0
2020-04-24 09:59:00,74.59,74.73,74.47,74.48,24101.0
2020-04-24 10:00:00,74.48,74.48,74.28,74.285,10584.0
2020-04-24 10:01:00,74.2998,74.46,74.2501,74.46,20813.0
2020-04-24 10:02:00,74.43,74.44,74.31,74.395,39143.0
2020-04-24 10:03:00,74.35,74.36,74.21,74.36,33097.0
2020-04-24 10:04:00,74.3492,74.38,74.27,74.35,17783.0
2020-04-24 10:05:00,74.35,74.48,74.35,74.43,13955.0
